,No,구분,Question,Numbers,Equation,Answer,group_nums,Grade,Type,Body,Ques_Statement
412,174,train,그들이 섬의 출발점에 도착했을 때 그들은 단서를보고 다음 단서에 도달하기 위해 밟아야하는 단계의 수가 number0 개 number1 개의 차이라는 것을 알아 냈습니다. 다음 단서를 얻기 위해 얼마나 많은 단계를 거쳐야합니까?,537 369,- number0 number1,168.0,"[35, 36, 37, 38, 39, 50, 51, 52]",3,Subtraction,when they arrived at the island 's starting point they looked at the clues and found out that the number of steps they need to take to get to the next clue is the difference between number0 and number1 how,many steps do they have to take to get to the next clue ?
413,175,train,지도는 그들을 숲을지나 동굴로 인도했습니다. 동굴 문을 열려면 스위치에 무게를 달아야합니다. 스위치에 이미 number0 lbs가있는 경우. 무게와 필요한 총계는 number1 lbs입니다. 얼마나 더 많은 무게를 추가해야합니까?,234 712,- number1 number0,478.0,"[32, 4, 40, 41, 42, 50, 51, 52, 30, 31]",3,Subtraction,the map led them through the forest and into a cave . to open the cave doors they need to put weights on the switch . if the switch already has number0 lbs . of weights and the total needed is number1 lbs .,how much more weight to they need to add ?
414,176,train,만약 동굴의 깊이가 number0 feet이고 그들은 이미 number1 feet이다. 그들이 동굴의 끝에 도달할 때까지 얼마나 더 먼가?,974 588,- number0 number1,386.0,"[3, 4, 5, 11, 12, 13, 22, 23, 24]",3,Subtraction,if the cave is number0 feet deep and they are already at number1 feet,how much farther until they reach the end of the cave ?
415,177,train,동굴 끝에서 그들은 황금 상자를 발견했습니다. 상자에 number0 개의 다이아몬드와 number1 개의 루비가 있다면 루비보다 다이아몬드가 몇 개 더 있습니까?,421 377,- number0 number1,44.0,"[3, 10, 11, 14, 15, 16, 17, 18, 19, 20, 26, 27, 28]",3,Subtraction,at the end of the cave they found a golden chest . if the chest contains number0 diamonds and number1 rubies,how many more diamonds are there than rubies ?
416,178,train,벽으로 둘러싸인 아름다운 정원으로 향하는 길. 하얀 꽃의 수가 붉은 꽃의 수와 같을 때 출구 문이 열립니다. 흰색 꽃이 number0 개의고 붉은 꽃이 number1 개의 있다면 붉은 꽃이 얼마나 더 필요합니까?,555 347,- number0 number1,208.0,"[2, 35, 36, 37, 38, 39, 40, 41, 42, 9, 4, 8, 11, 12, 13, 47, 18, 48, 49]",3,Subtraction,the path opened to a beautiful garden enclosed by a wall . the exit door will open when the number of white flowers is the same as the number of red flowers . if there are number0 white flowers and number1 red flowers,how many more red flowers are needed ?
417,179,train,출구 문은 그가 건너야하는 다리가 number1 inches에 불과한 경우 건너편 number0 inches의 강으로 이어집니다. 그가 다리를 사용하여 강을 건너 고자 할 때 얼마나 더 건설해야합니까?,487 295,- number0 number1,192.0,"[36, 37, 6, 7, 8, 38, 18, 19, 20]",3,Subtraction,the exit door leads to a river number0 inches across if the bridge he needs to cross is only number1 inches,how much longer does he need to build if he wants to cross the river using the bridge ?
418,180,train,강을 건너 그는 구멍에 빠졌다. 밖으로 나가기 위해 그는 number0 gallons의 물로 그것을 채워야합니다. 구멍에 처음에 number1 gallons가있는 경우 채우려면 얼마나 많은 물이 필요합니까?,823 676,- number0 number1,147.0,"[4, 36, 37, 38, 17, 18, 19, 27, 28, 29]",3,Subtraction,across the river he fell into a hole . to get out he needs to fill it with number0 gallons of water . if the hole initially has number1 gallons,how much water does he need to fill it ?
419,181,train,숲의 가장자리에서 개미집이 탈출구를 막고 있습니다. 통과하기 위해서는 개미들이 음식을 모으는 것을 도와야합니다. 개미에게 먹이가 number0 개가 필요하고 이미 number1 개가 있다면 개미를 몇 개 더 모아야합니까?,911 762,- number0 number1,149.0,"[32, 33, 39, 40, 41, 47, 48, 49, 31]",3,Subtraction,at the edge of the forest an anthill is blocking the way out . in order to pass through he needs to help the ants gather food . if the ants need number0 grains of food and they already have number1,how many more grains are needed to be gathered ?
420,182,train,야심 찬 발명가 윤기는 세계 일주를 꿈꾸는 그의 꿈을 이루기 위해 날개를 만들 계획입니다. 그는 깃털을 모으는 것으로 시작했습니다. 그는 number0 개의 깃털이 필요하고 이미 number1 개의 깃털을 수집해야하나요?,900 387,- number0 number1,513.0,"[33, 34, 35, 3, 1, 2, 8, 41, 42, 43, 27, 28, 29]",3,Subtraction,charlie an aspiring inventor is planning to make some wings to fulfill his dream to fly around the world . he started by collecting feathers . he needs number0 feathers and he already has number1 how,many more feathers does he need to collect ?
421,183,train,그의 체크리스트의 다음은 깃털을 서로 붙일 왁스 접착제입니다. 깃털에 왁스 number0 g이 필요하고 지금 당장 왁스 접착제가 number1 g 필요하다면 이미 몇 g의 왁스 접착제를 가지고 있습니까?,469 257,- number0 number1,212.0,"[3, 36, 37, 38, 13, 16, 17, 18, 26, 27, 28]",3,Subtraction,next on his checklist are wax glues to stick the feathers together . if the feathers require number0 g of wax and right now he just needs number1 g,how many grams of wax glue does he already have ?
422,184,train,이제 날개를 가열해야합니다. 오븐이 number0 도 필요한 온도가 number1 도 경우 오븐 온도를 몇도 더 높여야합니까?,150 546,- number1 number0,396.0,"[32, 12, 13, 14, 15, 16, 19, 20, 21, 22, 30, 31]",3,Subtraction,the wings now need to be heated . if the oven is at number0 degrees and the required temperature is number1 degrees,how many more degrees does the oven temperature need to increase ?
423,185,train,날개를 가열하는 동안 윤기는 날개를 위한 금속 지지대를 만들기로 결정했습니다. 그가 number0 pounds의 금속을 필요로하고 그가 number1 pounds의 저장고를 가지고 있다면 얼마나 많은 추가 금속을 구입해야합니까?,635 276,- number0 number1,359.0,"[2, 34, 35, 36, 9, 16, 17, 18, 23, 24, 25]",3,Subtraction,while heating the wings charlie decided to make metal supports for the wings . if he needs number0 lbs of metal and he has number1 lbs in storage,how much additional metal does he need to buy ?
424,186,train,마침내 그는 날개에 색을 더하고 싶어서 무지개처럼 칠하기로 결정했습니다. 그가 number0 l의 페인트를 사용하고 싶고 마지막 프로젝트에서 여전히 number1 l가 남아 있다면 얼마나 더 많은 페인트를 사야할까요?,333 157,- number0 number1,176.0,"[32, 33, 4, 12, 45, 46, 47, 23, 24, 25, 31]",3,Subtraction,finally he wanted to add color to the wings so he decided to paint it like a rainbow . if he wanted to use number0 liters of paint and he still have number1 liters left from his last project,how much more paint does he need to buy ?
425,187,train,마을 제빵사 호석이는 그들의 마을에서 본 가장 큰 케이크를 만들고 싶었습니다. 먼저 그는 밀가루를 준비했습니다. 그는 number0 lbs의 밀가루를 사용할 계획입니다. 그가 number1 lbs를 가지고 있다면. 그의 빵집에 저장된 밀가루의 양은 얼마나 더 많은 밀가루를 사야합니까?,501 294,- number0 number1,207.0,"[2, 35, 36, 37, 4, 51, 52, 53, 26, 27, 28]",3,Subtraction,willie the town baker wanted to make the biggest cake their town has ever seen . first he prepared the flour . he is planning to use number0 lbs . of flour . if he has number1 lbs . of flour stored in his bakery,how much more flour does he need to buy ?
426,188,train,그의 쇼핑 목록에있는 다음은 계란입니다. 그가 케이크에 number0 개의 계란이 필요하고 그의 친구 석진이가 그에게 number1 을 주었다면 그가 얼마나 많은 계란을 사야할까요?,222 155,- number0 number1,67.0,"[2, 11, 12, 13, 16, 17, 21, 22, 23, 24, 28, 29, 30]",3,Subtraction,next on his shopping list are the eggs . if he needs number0 eggs for his cake and his friend andrew gave him number1,how many more eggs should he buy ?
427,189,train,케이크가 달콤한 지 확인하려면 number0 lbs가 필요합니다. 설탕의 . 그가 number1 lbs를 가지고 있다면. 그의 집에 저장된 설탕의 양이 얼마나 추가로 필요할까요?,450 287,- number0 number1,163.0,"[32, 33, 2, 34, 9, 10, 11, 18, 19, 20]",3,Subtraction,to make sure that the cake is sweet he needs number0 lbs . of sugar . if he has number1 lbs . of sugar stored in his house,how much additional sugar will he need ?
428,190,train,마을 사람들이 그가 초콜릿 케이크를 만들어달라고 요청했기 때문에 그는 number0 lbs가 필요할 것입니다. 코코아 가루. 시장이 이미 그에게 number1 pound를 준 경우. 코코아 가루가 아직도 얼마나 필요한가요?,306 259,- number0 number1,47.0,"[34, 35, 4, 36, 12, 13, 14, 25, 26, 27]",3,Subtraction,since the townspeople requested that he makes a chocolate cake he will need number0 lbs . of cocoa powder . if the mayor already gave him number1 lbs .,how much cocoa powder does he still need ?
429,191,train,프로스팅과 마지막 손질을 위해 석진이는 휘핑 크림 number0 lbs가 필요합니다. 그가 number1 lbs를 얻었다면. 그의 농장에서 크림을 얼마나 더 사야할까요?,300 149,- number0 number1,151.0,"[2, 35, 36, 37, 10, 11, 12, 20, 21, 22]",3,Subtraction,for the frosting and final touches willie will need to have number0 lbs . of whipped cream . if he got number1 lbs . of cream from his farm,how much more cream is needed to be bought ?
430,192,train,크리스마스가 겨우 일주일 남았습니다. 남준이는 가족을 위해 선물을 사러 나갔다. 그의 예산으로 number0 dollars를 가지고 그는 스포츠 상점에 가서 number1 dollars에 새 신발 한 켤레를 구입했습니다. 그는 얼마나 많은 돈을 남겼습니까?,999.00 165.00,- number0 number1,834.0,"[0, 41, 42, 48, 49, 50, 20, 21, 22]",3,Subtraction,there 's only a week left before christmas . john went out to buy gifts for his family . having $ number0 for his budget he went to a sports store and bought his brother a new pair of shoes for $ number1 .,how much money does he have left ?
431,193,train,드레스를 사서 원예 가게에 가서 엄마에게 관상용 식물을 샀다. 식물이 원래 number0 dollars이고 number1 dollars할인을받을 수 있다면 실제로 식물 구입에 얼마를 지출 했습니까?,467.00 399.00,- number0 number1,68.0,"[32, 33, 34, 4, 42, 43, 44, 23, 24, 25]",3,Subtraction,after buying a dress he went to a gardening store and bought his mom some ornamental plants . if the plants originally cost $ number0 and he was able to get a $ number1 discount,how much did he actually spend on buying the plants ?
432,194,train,마지막으로 그는 뮤직 스토어에 가서 아버지의 엔터테인먼트 시스템을위한 새 스피커 세트를 구입했습니다. 스피커의 초기 가격이 number0 dollars이면 number1 dollars에 구입했습니다. 할인을 통해 얼마나 많은 돈을 절약 할 수 있었습니까?,475.00 199.00,- number0 number1,276.0,"[35, 36, 37, 46, 47, 48, 29, 30, 31]",3,Subtraction,lastly he went to a music store and bought a new set of speakers for his dad 's entertainment system . if the initial price of the speakers is $ number0 he got it for $ number1,how much money was he able to save from having a discount ?
433,195,train,그가 총 number0 dollars를 썼고 모든 선물이 number1 dollars의 비용이 든다면 그는 선물 포장 및 기타 비용에 얼마나 많은 돈을 썼습니까?,700.00 561.00,- number0 number1,139.0,"[6, 7, 8, 16, 17, 18, 26, 27, 28]",3,Subtraction,if he spent a total of $ number0 and all the gifts cost a total of $ number1,how much money did he spend on giftwrapping and other expenses ?
434,196,train,마무리를 위해 그는 number0 gallons의 페인트가 필요했습니다. 그가 기존의 number2 gallons의 페인트에 추가하기 위해 number1 gallons을 산다면 얼마나 더 많은 페인트가 필요할까요?,70 23 36,- - number0 number1 number2,11.0,"[2, 4, 5, 6, 9, 12, 13, 14, 19, 20, 21, 28, 29, 30]",3,TVQ-Change,for finishing touches he needed number0 gallons of paint . if he bought number1 gallons to add to his existing number2 gallons of paint,how much more paint will he need ?
435,197,train,유나는 여행하는 것을 좋아합니다. 그녀의 생일에 그녀는 신비한 대륙을 여행하기로 결정했습니다. 그녀의 첫번째 목적지는 그녀의 장소에서 number0 miles 떨어진 곳에 있는 조각상들의 섬이었다. 그녀는 number1 번 단기 체류 뒤 number3 miles을 여행한 후 number2 번 단기 체류와 number5 miles뒤에 number4 번 단기 체류를 하는 비행기를 탔다. 섬이 number6 의 경유지에서 얼마나 더 멀리 떨어져 있나요?,436 2 1 132 2 236 2,- number0 + number3 number5,68.0,"[32, 68, 5, 69, 70, 42, 43, 44, 12, 49, 50, 51, 57, 58, 59, 30, 31]",3,Subtraction,katie loves to travel . on her birthday she decided to go on a trip on a mysterious continent . her first destination was in an island of statues which is number0 miles from her place . she took a plane that made number1 stopovers the number2 stopover after covering number3 miles and the number4 stopover after another number5 miles .,how much farther is the island from the number6 stopover ?
436,198,train,케이티는 섬에 머무는 동안 총 $ number0 를 썼습니다. 만약 그녀가 음식에 number1 dollars를 쓰고 호텔 방에 number2 dollars를 썼다면 그녀는 다른 물건을 사는 데 얼마를 썼습니까?,350.00 125.00 135.00,- number0 + number1 number2,90.0,"[1, 2, 3, 4, 5, 6, 33, 34, 35, 17, 18, 19, 22, 23, 24]",3,Subtraction,katie spent a total $ number0 on her whole stay in the island . if she spent $ number1 on food and $ number2 on hotel rooms,how much did she spend on buying other stuff ?
437,199,train,다음으로 그녀는 산이 가득한 나라로 갔다. 그곳에서 그녀는 곤충 파충류와 새의 number0 종을 보았습니다. 그녀가 number1 종 곤충과 number2 종 조류를 본다면 얼마나 많은 파충류 종을 보았습니까?,532 253 143,- number0 + number1 number2,136.0,"[2, 35, 36, 37, 11, 12, 13, 14, 16, 23, 24, 25, 26, 27, 28, 29, 30]",3,Subtraction,next she went to a country full of mountains . there she saw number0 species of insects reptiles and birds . if she saw number1 insect species and number2 bird species,how many reptile species did she see ?
438,200,train,산악 지대를지나 그녀는 대륙의 유명한 해변으로 갔다. 거기에서 그녀는 다른 색깔의 조개 number0 개 수집했습니다. 그녀가 number1 개의 빨간 껍질과 number2 개의 녹색 껍질을 가지고 있다면 얼마나 많은 껍질이 빨간색 또는 녹색이 아닌가?,291 76 49,- number0 + number1 number2,166.0,"[32, 2, 4, 38, 39, 8, 40, 11, 15, 16, 17, 18, 25, 26, 27, 28, 29, 30, 31]",3,Subtraction,after the mountain country she went to the famous beach on the continent . there she collected number0 seashells of different colors . if she has number1 red shells and number2 green shells,how many shells are not red or green ?
439,201,train,"추수 감사절이 다가오고 있습니다. 은지는 여러 자선 단체에 축복을 나눔으로써이를 축하하고 싶어합니다. 그녀는 처음으로 올드 타운으로 가서 총 number0 dollars를 다른 양로원 number1 곳에 기부했습니다. 그녀가 첫 번째 집에 number2 dollars를, 두 번째 집에 number3 dollars를 주었다면 그녀는 세 번째 집에 얼마를 주었습니까?",700.00 3 245.00 225.00,- number0 + number2 number3,230.0,"[32, 34, 2, 58, 39, 40, 41, 7, 59, 46, 47, 48, 14, 57, 26, 27, 28, 30, 31]",3,Subtraction,thanksgiving is coming and dr. mary wants to celebrate it by sharing her blessing to different charities . she first went to oldtown where she donated $ number0 in total to number1 different nursing homes . if she gave $ number2 to the first home and $ number3 to the second,how much did she give to the third home ?
440,202,train,"그런 다음 그녀는 number0 군데 고아원에 가서 총 number1 dollars를 기부했습니다. 그녀가 첫 번째 고아원에 number2 dollars를, 세 번째 고아원에 number3 dollars를 주었다면 그녀는 두 번째 고아원에 얼마를 기부 했습니까?",3 650.00 175.00 250.00,- number1 + number2 number3,225.0,"[2, 3, 4, 5, 35, 36, 37, 11, 12, 17, 18, 19, 24, 25, 26]",3,Subtraction,she then went to number0 orphanages and donated a total of $ number1 . if she gave $ number2 to the first orphanage and $ number3 to the third,how much did she donate to the second orphanage ?
441,203,train,"그녀의 목록에있는 다음은 그녀가 총 number0 dollars를 지출 한 노숙자입니다. 그녀가 첫 번째 노숙자 가정에 number1 dollars를, 두 번째 가정에 number2 dollars를 주었다면 마지막 노숙자 가정에 얼마를 주었습니까?",900.00 325.00 260.00,- number0 + number1 number2,315.0,"[32, 2, 14, 15, 47, 48, 49, 20, 21, 22, 30, 31]",3,Subtraction,next on her list are the homeless people where she spent a total of $ number0 . if she gave $ number1 to the first set of homeless families and $ number2 to the second set of families,how much did she give to the last set of homeless families ?
442,204,train,"마지막으로 그녀는 마을의 number1 곳의 급식소에 number0 dollars를 기부했습니다. 그녀가 첫 번째 무료 급식소에 number2 dollars를, 두 번째 급식소에 number3 dollars를 주었다면 세 번째에 얼마를 기부 했습니까?",800.00 3 300.00 238.00,- number0 + number2 number3,262.0,"[2, 3, 4, 5, 6, 7, 35, 9, 36, 37, 17, 18, 19, 25, 26, 27]",3,Subtraction,lastly she donated $ number0 to number1 different soup kitchens in her town . if she gave $ number2 to the first soup kitchen and $ number3 to the second,how much did she donate to the third ?
443,205,train,지붕을 위해 지민은지지를 위해 number0 세트의 금속 막대가 필요합니다. 각 세트에 number1 개의 금속 막대가있는 경우 모두 몇 개의 금속 막대가 있습니까?,2 7,* number0 number1,14.0,"[3, 5, 6, 7, 8, 12, 15, 17, 18, 19, 20, 26, 27, 28]",3,Multiplication,for the roof john would need number0 sets of metal bars for support . if each set has number1 metal bars,how many metal bars are there in all ?
444,206,train,마지막 손질을 위해 지민은 number0 색을 사용하여 집을 페인트하고 싶었습니다. 만약 그가 각 색깔에 대해 number1 리터의 페인트를 가지고 있다면 그는 모두 몇 리터의 페인트를 가지고 있습니까?,3 5,* number0 number1,15.0,"[33, 2, 34, 35, 10, 11, 12, 13, 14, 17, 18, 19, 20, 24]",3,Multiplication,for the final touches john wanted to paint the house using the number0 primary colors . if he has number1 liters of paint for each color,how many liters of paint does he have in all ?
445,207,train,오크 우드 초등학교의 아이들이 견학을 위해 새 동물원을 방문하고 있습니다. 학교에서 새 동물원에 가려면 아이들은 버스를 타야합니다. number0 대의 버스가 있고 각 버스에 number1 명의 성인 감독자가 어린이를 안내하는 경우 총 감독자는 몇 명입니까?,7 3,* number0 number1,21.0,"[2, 35, 36, 37, 39, 8, 41, 42, 43, 44, 10, 17, 20, 53, 54, 55, 29]",3,Multiplication,the kids from oakwood elementary school are visiting a bird zoo for their field trip . to get to the bird zoo from the school the kids have to ride some buses . if there are number0 buses and each bus has number1 adult supervisors to guide the children,how many supervisors are there in total ?
446,208,train,각 버스에 number0 열 좌석이 있고 각 좌석 열에 number1 명의 어린이를 수용 할 수있는 경우 각 버스는 몇 명의 어린이를 수용 할 수 있습니까?,9 4,* number0 number1,36.0,"[1, 3, 4, 5, 9, 14, 15, 16, 18, 21, 22, 23]",3,Multiplication,if each bus have number0 rows of seats and each row of seats can accommodate number1 children,how many children can each bus accommodate ?
447,209,train,새 동물원에서 아이들은 각각 number1 의 다른 종류의 새가 들어있는 number0 번의 새장을 방문 할 수있었습니다. 아이들은 새장에서 얼마나 많은 종류의 새를 보았습니까?,5 8,* number0 number1,40.0,"[1, 2, 33, 34, 35, 9, 10, 11, 13, 14, 15, 16, 17, 18]",3,Multiplication,at the bird zoo the kids were able to visit number0 different bird cages each containing number1 different kinds of birds .,how many different kinds of birds did the children see from the bird cages ?
448,210,train,동물원 뒤에는 새들이 자연 서식지에서 자유롭게 돌아 다닐 수있는 산이 있습니다. 아이들은 산의 각 구역에 사는 number0 종의 독수리를 보았다. 산에 number1 개의 구역이 있다면 아이들은 총 몇 종류의 독수리를 보았습니까?,6 3,* number0 number1,18.0,"[2, 3, 38, 39, 40, 7, 14, 49, 50, 51, 22, 23, 24, 29]",3,Multiplication,at the back of the zoo is a mountain where the birds can roam free in a natural habitat . the children saw number0 types of eagles living on each section of the mountain . if the mountain has number1 sections,how many types of eagles did the children see in total ?
449,211,train,동물원을 떠나기 전 마지막 목적지는 새 박물관입니다. 거기에서 그들은 각 전시회를 돌아 다니며 number1 분을 소요하는 number0 개의 새 전시회를 통과했습니다. 박물관을 돌아 다니는 데 얼마나 많은 시간을 보냈습니까?,7 9,* number0 number1,63.0,"[34, 35, 36, 7, 15, 16, 17, 18, 19, 20, 21, 24]",3,Multiplication,their last stop before leaving the zoo is the bird museum . there they went through number0 bird exhibits spending number1 minutes going around each exhibit .,how much time did they spend going through the museum ?
450,212,train,은지는 할로윈 캔디를 진지하게 받아들입니다. 그래서 할로윈 며칠 전에 그녀는 그녀의 할로윈 캔디의 세부 사항이 잘 계획되어 있는지 확인합니다. 먼저 그녀는 마을에있는 집의 수를 알고 싶었습니다. 마을에 블록 당 집이 number0 개이고 총 number1 블록이 있다면 그녀의 마을에는 몇 집이 있습니까?,5 9,* number0 number1,45.0,"[3, 43, 44, 45, 46, 16, 19, 52, 53, 54, 60, 61, 62]",3,Multiplication,annie takes trick or treating seriously . so days before halloween she makes sure that the details of her trick or treating are well planned . first she wanted to find out the number of houses in her village . if the village has number0 houses per block and has a total of number1 blocks,how many houses are there in her village ?
451,213,train,그녀는 또한 각 블록에서받을 사탕의 수를 추정했습니다. 그녀가 모든 집에서 사탕을 number0 개 정도 받고 한 블록에 number1 개 집이 있다면 각 블록에서 사탕을 몇 개받을까요?,7 5,* number0 number1,35.0,"[3, 41, 42, 43, 12, 14, 19, 20, 21, 25, 29, 30, 31]",3,Multiplication,she also estimated the number of candies that she will receive from each block . if she will receive around number0 pieces of candies from every house and there are number1 houses in a block,how many candies will she receive from each block ?
452,214,train,그녀는 얼마나 많은 아이들이 그들의 마을에서 할로윈캔디받기를 할 것인지 알고 싶어합니다. number1 블록에 number0 명의 아이들이 있다면 얼마나 많은 아이들이 은지의 마을에서 할로윈캔디받기를 할 것인가?,6 9,* number0 number1,54.0,"[2, 36, 5, 37, 38, 8, 12, 15, 18, 19, 20, 22, 24, 25, 26]",3,Multiplication,she wants to know how many children will go trick or treating in their village . if there are number0 children on each of the number1 blocks,how many children will go trick or treating in annie 's village ?
453,215,train,은지는 또한 마을의 number0 블록을 돌아 다니는 시간을 계획했습니다. 그녀가 각 블록에 number1 분만 투자 할 계획이라면 할로윈캔디 받기를 마치는 데 얼마나 많은 시간이 걸릴까요?,9 8,* number0 number1,72.0,"[4, 38, 39, 40, 10, 11, 12, 22, 23, 24, 26]",3,Multiplication,annie also planned the time she would spend going around the number0 blocks in her village . if she plans on spending just number1 minutes on each block,how much time would it take for her to finish trick or treating ?
454,216,train,마침내 그녀는 마을 클럽 하우스에서 할로윈 파티에 갈 계획이었다. 그녀는 그녀가 완벽한 의상을 갖기를 원했기 때문에 할로윈 상점에서 number0 개의 다른 의상을 대여했습니다. 각 의상 임대료가 number1 dollars 이면 모든 의상에 얼마를 지출 했습니까?,4 2.00,* number0 number1,8.0,"[32, 4, 39, 43, 44, 45, 14, 16, 51, 52, 53, 29, 30, 31]",3,Multiplication,finally she planned on going to the halloween party in the village club house . she wanted to make sure that she will have the perfect costume so she rented number0 different costumes from the halloween store . if each costume rent costs $ number1,how much did she spend on all the costumes ?
455,217,train,석진은 윤기보다 number0 배 더 많은 비행 로봇을 가지고 있습니다. 윤기가 number1 개의 비행 로봇을 가지고 있다면 마이클은 얼마나 많은 비행 로봇을 가지고 있습니까?,4 3,* number0 number1,12.0,"[2, 4, 5, 6, 7, 8, 12, 15, 16, 17, 18, 23, 24, 25]",3,Multiplication,being his favorite michael has number0 times more flying robots than tom . if tom has number1 flying robots,how many flying robots does michael have ?
456,218,train,윤기는 석진이 자신의 로봇 세트 number0 개를 완성 할 희귀 한 로봇을 가지고 있음을 확인했습니다. 석진은 그것을 팔겠다고 제안했지만 윤기는 원래 가격의 number1 배를 지불해야한다고 말했다. 희귀 로봇의 원래 가격이 number2 dollars인 경우 윤기는 얼마를 지불해야합니까?,1 3 3.00,* number1 number2,9.0,"[32, 10, 11, 12, 46, 47, 48, 50, 51, 52, 30, 31]",3,Multiplication,tom saw that michael has the rare robot that would complete number0 of his robot sets . michael offered to sell it but he said that tom will need to pay number1 times the original price . if the rare robot has an original price of $ number2,how much should tom pay ?
457,219,train,회의가 끝나기 전에 윤기는 컬렉션에있는 총 로봇 수를 세었습니다. 그는 number0 세트의 로봇을 가지고 있으며 각 세트는 number1 개의 로봇으로 구성됩니다. 윤기는 그의 컬렉션에 몇 개의 로봇을 가지고 있습니까?,6 7,* number0 number1,42.0,"[1, 5, 37, 38, 39, 17, 18, 19, 23, 27, 28, 29]",3,Multiplication,before they end the meeting tom counted the total number of robots in his collection . he has number0 sets of robots and each set is composed of number1 robots .,how many robots does tom have in his collection ?
458,220,train,민영은 가끔 돈을 저축하여 원하는 물건을 살 돈을 확보하기를 좋아합니다. number0 일 그녀는 그녀의 저축을 계산하기로 결정했습니다. 그녀는 돼지 저금통을 열고 다른 동전과 dollar 지폐를 분류했습니다. 만약 그녀가 number1 니켈의 총액을 세었다면 (1니켈은 number2 cents 해당함) 그녀가 가진 총 금액은 얼마입니까?,1 20 5,* number1 number2,100.0,"[5, 72, 73, 74, 51, 52, 53, 22, 23, 59, 60, 61]",3,Multiplication,michelle likes to save money every now and then so that she has money to buy the things that she wants . number0 day she decided to count her savings . she opened her piggy bank and sorted out the different coins and dollar bills . if she counted a total of number1 nickels ( a nickel is equivalent to number2 cents ),what is the total value of money does she have in nickels ?
459,221,train,호석과 그의 동생 지민은 몇 주 동안 휴가를 보내고 할아버지의 농장에갔습니다. 농장에 머무는 동안 그들은 동물을 돌봐 달라는 요청을 받았습니다. number0 날 그의 할아버지는 그들이 가지고있는 양의 총 수를 셀 수 있는지 물었다. number1 무리의 양이 있고 각 무리에 숫자 number2 양이 있다면 총 몇 마리의 양이 있습니까?,1 3 20,* number1 number2,60.0,"[64, 34, 35, 2, 70, 71, 72, 10, 14, 18, 54, 55, 56, 60, 62, 63]",3,Multiplication,daniel and his brother ben went to their grandfather 's farm for a few weeks of vacation . during their stay at the farm they were asked to take care of the animals . number0 day his grandfather asked if he could count the total number of sheep that they have . if there are number1 herds of sheep and each herd has number2 sheep,how many sheep do they have in total ?
460,222,train,반면에 지민은 그들이 가지고있는 소의 수를 세도록 요청 받았습니다. 그는 모든 소 떼에 대해 총 number0 소가 있음을 보았습니다. 농장에 number1 소 떼가 있다면 총 몇 마리의 소가 있습니까?,40 8,* number0 number1,320.0,"[1, 5, 42, 43, 44, 45, 10, 46, 47, 48, 24, 25, 26, 28]",3,Multiplication,ben on the other hand was asked to count the number of cows that they have . he saw that there are a total of number0 cows for every cow herd .,how many cows do they have in total if there are number1 cow herds in the farm ?
461,223,train,그들 모두는 또한 농장에있는 닭의 총 수를 기록하도록 요청 받았다. 지민은 총 number0 개의 닭장을 세었고 태형은 number2 개의 닭장에 number1 개의 닭이 있다고 말했다. 총 몇 마리의 닭이 있습니까?,9 60 1,* number0 number1,540.0,"[32, 33, 34, 35, 36, 37, 1, 5, 44, 13, 45, 46, 23, 24, 25, 26]",3,Multiplication,both of them were also asked to take note of the total number of chicken in the farm . ben counted a total of number0 chicken coops and daniel said that there are number1 chickens in number2 coop .,how many chickens do they have in total ?
462,224,train,지민은 검사 할 수있는 number0 개의 계란 트레이도 받았습니다. 각 쟁반에 number1 개의 계란이있는 경우 지민은 총 몇 개의 계란을 검사 했습니까?,7 10,* number0 number1,70.0,"[3, 4, 5, 7, 11, 12, 14, 15, 16, 22, 23, 24]",3,Multiplication,ben was also given number0 trays of eggs to examine . if each tray has number1 eggs,how many eggs did ben examine in total ?
463,225,train,휴가 후 그들은 농장이 number0 섹션으로 나뉘었고 각 섹션에는 number1 acres 의 토지 면적이 있다는 것을 알아 냈습니다. 농장의 전체 면적은 얼마입니까?,5 60,* number1 number0,300.0,"[32, 11, 12, 13, 15, 21, 22, 23, 30, 31]",3,Multiplication,after they vacation they figured out that the farm was divided into number0 sections and each section has a land area of number1 acres .,what is the total area of the farm ?
464,226,train,민영과 그녀의 가족은 방금 새 도시로 이사했고 오늘은 새 학교에 입학하는 첫 날이 될 것입니다. 그녀는 자신이 충분히 휴식을 취하고 있는지 확인하여 number0 시간의 수면을 취했는지 확인했습니다. 1 시간이 number1 분으로 구성되어 있다면 그녀는 몇 분의 수면을 취했습니까?,8 60,* number0 number1,480.0,"[38, 39, 40, 9, 16, 49, 50, 51, 57, 58, 59]",3,Multiplication,jenny and her family just moved into a new city and today would be her first day on a new school . she wanted to make sure that she is well rested so she made sure that she had number0 hours of sleep . if an hour is composed of number1 minutes,how many minutes of sleep did she have ?
